title,authors,average_rating,  num_pages,ratings_count,publication_date,publisher
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr̩,4.57,652,2095690,9/16/2006,Scholastic Inc.
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr̩,4.49,870,2153167,09/01/2004,Scholastic Inc.
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333,11/01/2003,Scholastic Inc.
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr̩,4.56,435,2339585,05/01/2004,Scholastic Inc.
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr̩,4.78,2690,41428,9/13/2004,Scholastic Inc.
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19,4/26/2005,Nimble Books
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242,09/12/2005,Scholastic Inc.
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628,11/01/2005,Gramercy Books
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558,4/30/2002,Del Rey Books
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930,08/03/2004,Crown
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266,3/23/2005,Random House Audio
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877,1/17/1996,Wings Books
A Short History of Nearly Everything,Bill Bryson,4.21,544,248558,9/14/2004,Broadway Books
Bill Bryson's African Diary,Bill Bryson,3.44,55,7270,12/03/2002,Broadway Books
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088,9/14/2004,Broadway Books
In a Sunburned Country,Bill Bryson,4.07,335,72451,5/15/2001,Broadway Books
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240,6/28/2000,Broadway Books
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712,8/28/1990,William Morrow Paperbacks
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701,3/28/1993,William Morrow Paperbacks
Notes from a Small Island,Bill Bryson,3.91,324,80609,5/28/1997,William Morrow Paperbacks
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489,9/28/1991,William Morrow Paperbacks
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233,9/25/2012,Ballantine Books
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710,10/21/2004,Houghton Mifflin Harcourt
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944,09/05/2003,Houghton Mifflin Harcourt
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618,10/01/2002,Houghton Mifflin Harcourt
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822,11/05/2003,Houghton Mifflin Harcourt
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359,11/15/2004,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430,7/28/2005,Pragmatic Bookshelf
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244,04/01/2000,Atheneum Books for Young Readers: Richard Jackson Books
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,48,36,8/28/1994,Teacher Created Resources
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067,1/23/2001,Delacorte Press
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6,06/10/2003,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99,11/01/2005,The New Press
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167,11/01/2005,Changeling Press
Changeling (Changeling  #1),Delia Sherman,3.6,256,978,8/17/2006,Viking Juvenile
The Changeling Sea,Patricia A. McKillip,4.06,137,4454,4/14/2003,Firebird
The Changeling,Zilpha Keatley Snyder,4.17,228,1176,06/08/2004,iUniverse
The Changeling,Kate Horsley,3.55,339,301,04/12/2005,Shambhala
The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345,8/28/1990,Ivy Books
The Known World,Edward P. Jones,3.83,388,29686,8/29/2006,Amistad
The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55,6/15/2004,HarperAudio
The Known World,Edward P. Jones,3.83,576,22,6/15/2004,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456,5/15/2006,FT Press
Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52,12/14/2005,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562,06/01/1982,Farrar Straus and Giroux
Uncommon Carriers,John McPhee,3.95,248,1630,5/16/2006,Farrar Straus Giroux
Heirs of General Practice,John McPhee,4.17,128,268,04/01/1986,Farrar Straus and Giroux
The Control of Nature,John McPhee,4.24,288,3498,09/01/1990,Farrar Straus and Giroux
